HASHTAG FILE relative_frequency_H_C  frequency_H_in_C  frequency_H_overall  count_H_in_C count_hashtags_in_C count_H_entire_dataset count_hashtags_entire_dataset
LoveAfterLockup 1029041185808109568.hashtags 122.75000000000000011906  .50000000000000000000  .00407331975560081466  2 4 16 3928
LoveAfterLockup 1029041185808109568.hashtags 122.75000000000000011906  .50000000000000000000  .00407331975560081466  2 4 16 3928
LoveDuringLockup 1029041185808109568.hashtags 392.80000000000000076674  .50000000000000000000  .00127291242362525458  2 4 5 3928
LoveDuringLockup 1029041185808109568.hashtags 392.80000000000000076674  .50000000000000000000  .00127291242362525458  2 4 5 3928
ScottyfromMarketing 1031000589054828544.hashtags 93.52380952380952434448  .04761904761904761904  .00050916496945010183  1 21 2 3928
PutLNPlast 1031000589054828544.hashtags 187.04761904761905236257  .04761904761904761904  .00025458248472505091  1 21 1 3928
AusVotes22 1031000589054828544.hashtags 62.34920634920634997116  .04761904761904761904  .00076374745417515274  1 21 3 3928
Australia 1031000589054828544.hashtags 2.07830687830687830697  .04761904761904761904  .02291242362525458248  1 21 90 3928
VoteThemOut 1031000589054828544.hashtags 46.76190476190476217224  .04761904761904761904  .00101832993890020366  1 21 4 3928
LNPDisgrace 1031000589054828544.hashtags 7.79365079365079365710  .04761904761904761904  .00610997963340122199  1 21 24 3928
SolomonIslands 1031000589054828544.hashtags 187.04761904761905236257  .04761904761904761904  .00025458248472505091  1 21 1 3928
AlboForPM 1031000589054828544.hashtags 3.46384479717813051112  .04761904761904761904  .01374745417515274949  1 21 54 3928
auspol 1031000589054828544.hashtags 1.05082932049224184053  .04761904761904761904  .04531568228105906313  1 21 178 3928
ausvotes 1031000589054828544.hashtags 7.79365079365079365710  .04761904761904761904  .00610997963340122199  1 21 24 3928
alboonfire 1031000589054828544.hashtags 187.04761904761905236257  .04761904761904761904  .00025458248472505091  1 21 1 3928
liarfromtheshire 1031000589054828544.hashtags 187.04761904761905236257  .04761904761904761904  .00025458248472505091  1 21 1 3928
MurdochRoyalCommission 1031000589054828544.hashtags 46.76190476190476217224  .04761904761904761904  .00101832993890020366  1 21 4 3928
TheProjectTV 1031000589054828544.hashtags 37.40952380952380959084  .04761904761904761904  .00127291242362525458  1 21 5 3928
LNPCorruptionParty 1031000589054828544.hashtags 6.68027210884353741569  .04761904761904761904  .00712830957230142566  1 21 28 3928
ABCNews 1031000589054828544.hashtags 46.76190476190476217224  .04761904761904761904  .00101832993890020366  1 21 4 3928
Albo 1031000589054828544.hashtags 4.29994526546250684259  .09523809523809523809  .02214867617107942973  2 21 87 3928
fatmo 1031000589054828544.hashtags 187.04761904761905236257  .04761904761904761904  .00025458248472505091  1 21 1 3928
bigotsbill 1031000589054828544.hashtags 187.04761904761904870860  .09523809523809523809  .00050916496945010183  2 21 2 3928
bigotsbill 1031000589054828544.hashtags 187.04761904761904870860  .09523809523809523809  .00050916496945010183  2 21 2 3928
killthebill 1031000589054828544.hashtags 187.04761904761905236257  .04761904761904761904  .00025458248472505091  1 21 1 3928
HandsOffHitler 1046608631968538624.hashtags 213.28506787330316744218  .92307692307692307692  .00432790224032586558  12 13 17 3928
HandsOffHitler 1046608631968538624.hashtags 213.28506787330316744218  .92307692307692307692  .00432790224032586558  12 13 17 3928
HandsOffHitler 1046608631968538624.hashtags 213.28506787330316744218  .92307692307692307692  .00432790224032586558  12 13 17 3928
HandsOffHitler 1046608631968538624.hashtags 213.28506787330316744218  .92307692307692307692  .00432790224032586558  12 13 17 3928
HandsOffHitler 1046608631968538624.hashtags 213.28506787330316744218  .92307692307692307692  .00432790224032586558  12 13 17 3928
HandsOffHitler 1046608631968538624.hashtags 213.28506787330316744218  .92307692307692307692  .00432790224032586558  12 13 17 3928
HandsOffHitler 1046608631968538624.hashtags 213.28506787330316744218  .92307692307692307692  .00432790224032586558  12 13 17 3928
HandsOffHitler 1046608631968538624.hashtags 213.28506787330316744218  .92307692307692307692  .00432790224032586558  12 13 17 3928
HandsOffHitler 1046608631968538624.hashtags 213.28506787330316744218  .92307692307692307692  .00432790224032586558  12 13 17 3928
