HASHTAG FILE relative_frequency_H_C  frequency_H_in_C  frequency_H_overall  count_H_in_C count_hashtags_in_C count_H_entire_dataset count_hashtags_entire_dataset
FridaysForFuture 1006419421244678144.hashtags 298.05263157894737169069  .26315789473684210526  .00088292424509977043  5 19 25 28315
ClimateStrike 1006419421244678144.hashtags 240.36502546689304019312  .26315789473684210526  .00109482606392371534  5 19 31 28315
UprootTheSystem 1006419421244678144.hashtags 425.78947368421053165944  .10526315789473684210  .00024721878862793572  2 19 7 28315
FridaysForFuture 1006419421244678144.hashtags 298.05263157894737169069  .26315789473684210526  .00088292424509977043  5 19 25 28315
ClimateStrike 1006419421244678144.hashtags 240.36502546689304019312  .26315789473684210526  .00109482606392371534  5 19 31 28315
UprootTheSystem 1006419421244678144.hashtags 425.78947368421053165944  .10526315789473684210  .00024721878862793572  2 19 7 28315
FridaysForFuture 1006419421244678144.hashtags 298.05263157894737169069  .26315789473684210526  .00088292424509977043  5 19 25 28315
ClimateStrike 1006419421244678144.hashtags 240.36502546689304019312  .26315789473684210526  .00109482606392371534  5 19 31 28315
PeopleNotProfit 1006419421244678144.hashtags 372.56578947368421143444  .10526315789473684210  .00028253575843192654  2 19 8 28315
StandWithUkraine 1006419421244678144.hashtags 4.18613246599645180388  .05263157894736842105  .01257284125022073106  1 19 356 28315
InternationalWomensDay 1006419421244678144.hashtags 59.61052631578947399829  .10526315789473684210  .00176584849019954087  2 19 50 28315
InternationalWomensDay 1006419421244678144.hashtags 59.61052631578947399829  .10526315789473684210  .00176584849019954087  2 19 50 28315
FridaysForFuture 1006419421244678144.hashtags 298.05263157894737169069  .26315789473684210526  .00088292424509977043  5 19 25 28315
ClimateStrike 1006419421244678144.hashtags 240.36502546689304019312  .26315789473684210526  .00109482606392371534  5 19 31 28315
PeopleNotProfit 1006419421244678144.hashtags 372.56578947368421143444  .10526315789473684210  .00028253575843192654  2 19 8 28315
SchoolStrike4Climate 1006419421244678144.hashtags 1490.26315789473716221378  .05263157894736842105  .00003531696980399081  1 19 1 28315
EarthDay 1006419421244678144.hashtags 45.15948963317384371336  .05263157894736842105  .00116546000353169698  1 19 33 28315
USS 1007269733316677639.hashtags 255.09009009009009023404  .66666666666666666666  .00261345576549532050  6 9 74 28315
USS 1007269733316677639.hashtags 255.09009009009009023404  .66666666666666666666  .00261345576549532050  6 9 74 28315
USS 1007269733316677639.hashtags 255.09009009009009023404  .66666666666666666666  .00261345576549532050  6 9 74 28315
OneOfUsAllOfUs 1007269733316677639.hashtags 48.40170940170940177660  .11111111111111111111  .00229560303725940314  1 9 65 28315
USS 1007269733316677639.hashtags 255.09009009009009023404  .66666666666666666666  .00261345576549532050  6 9 74 28315
USSmess 1007269733316677639.hashtags 314.61111111111111634466  .11111111111111111111  .00035316969803990817  1 9 10 28315
UUKlies 1007269733316677639.hashtags 3146.11111111111178702162  .11111111111111111111  .00003531696980399081  1 9 1 28315
4Fights 1007269733316677639.hashtags 3146.11111111111178702162  .11111111111111111111  .00003531696980399081  1 9 1 28315
USS 1007269733316677639.hashtags 255.09009009009009023404  .66666666666666666666  .00261345576549532050  6 9 74 28315
IPCCReport 1008688766062661632.hashtags 9438.33333333333357951652  1.00000000000000000000  .00010595090941197245  1 1 3 28315
Kharkiv 1009546724.hashtags 9.53581050740907050630  .04411764705882352941  .00462652304432279710  3 68 131 28315
